DOMAIN,STATE,ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,TRN_TYPE
VUHZRNB.COM,KR,111,13,13,1,0,0,1,1,0,2,3,0,-77.512,19,0,12.95,12.95,LEGIT
JMPHJLYB.COM,NAO,166,8,8,0,0,0,1,0,0,1,3,1,-49.872,26,0,38.85,38.85,LEGIT
VUHZRNB.COM,MO,685,22,22,0,0,1,1,1,0,2,0,0,-75.904,12,4,49.95,49.95,LEGIT
ZYVEM.COM,PO,614,14,14,1,0,1,1,1,0,1,3,1,26.256,18,0,12.95,12.95,LEGIT
TMA.COM,MO,685,17,17,0,0,1,1,1,1,4,4,0,28.16,7,6,12.95,12.95,LEGIT
XOSOP.COM,KR,106,15,15,0,0,1,0,0,0,1,3,0,44.568,26,0,25.9,25.9,LEGIT
VUHZRNB.COM,CR,428,10,10,0,0,0,1,1,0,1,3,0,31.512,25,0,12.95,12.95,LEGIT
XOSOP.COM,AO,675,14,14,0,0,0,0,0,0,1,3,0,-31.888,20,7,12.95,12.95,LEGIT
VUHZRNB.COM,LM,127,11,11,0,0,0,0,1,0,1,2,0,42.456,21,0,38.85,38.85,LEGIT
XOSOP.COM,CO,672,0,0,0,0,1,1,0,0,1,3,0,46.992,6,0,12.95,12.95,LEGIT
ACYTF.COM,",O",634,14,14,0,0,1,0,1,0,1,3,0,49.144,6,1,10.36,10.36,LEGIT
QHXKT.NET,ROB,453,12,12,1,0,0,0,0,0,1,3,0,31.24,8,1,12.95,12.95,LEGIT
VUHZRNB.COM,KR,120,18,18,0,0,1,0,0,0,1,3,1,-7.44,14,1,12.95,12.95,LEGIT
TMA.COM,ROT,420,4,4,0,0,0,1,1,0,1,2,0,-45.68,16,4,12.95,12.95,LEGIT
VUHZRNB.COM,KR,108,16,17,0,0,1,0,0,0,1,3,0,4.696,8,0,38.85,38.85,LEGIT
TMA.COM,VO,600,16,16,0,0,1,1,0,0,1,3,0,15.296,9,9,38.85,38.85,LEGIT
TMA.COM,BO,308,13,13,0,0,0,1,1,0,1,3,1,-0.992,15,4,12.95,12.95,LEGIT
PGSEQQPW.NET,BO,308,8,8,0,0,1,0,1,0,2,2,0,-19.24,9,0,12.95,12.95,LEGIT
TMA.COM,MO,685,18,18,0,0,1,1,0,0,2,0,1,-40.784,8,0,12.95,12.95,LEGIT
BROOLR.COM,AR,649,14,14,0,0,1,0,0,0,1,3,0,12.64,25,0,12.95,12.95,LEGIT
WAJCTHFVP.NET,TO,625,1,1,0,0,1,0,0,0,1,3,0,54.192,6,0,10.36,10.36,LEGIT
ACYTF.COM,ROB,453,13,13,0,0,0,1,1,0,1,3,0,52.496,10,0,38.85,38.85,LEGIT
YVMCDBPFPZ.NET,",O",634,12,12,0,0,0,0,0,0,1,3,0,-24.08,21,2,14.95,14.95,LEGIT
KJIMPMYOC.COM,",O",634,16,16,0,0,0,1,0,0,1,0,1,46.088,23,0,38.85,38.85,LEGIT
XOSOP.COM,BR,670,18,18,0,0,0,1,0,0,1,3,1,12.872,24,0,12.95,12.95,LEGIT
VUHZRNB.COM,MO,685,22,22,0,0,0,0,0,0,1,2,1,15.736,11,0,12.95,12.95,LEGIT
TGRXNMB.NET,ROI,386,14,15,1,0,0,0,0,0,1,3,0,37.864,18,0,31.08,31.08,LEGIT
XOSOP.COM,SO,693,11,11,0,0,1,0,0,0,1,3,1,11.728,11,2,49.95,49.95,LEGIT
WAJCTHFVP.NET,SO,693,11,11,0,0,1,1,0,0,1,3,0,-5.936,9,2,12.95,12.95,LEGIT
XOSOP.COM,KR,103,16,16,0,0,1,1,1,0,1,3,0,-19.4,9,9,38.85,38.85,LEGIT
BWT.NET,AO,675,15,15,0,0,0,0,0,0,1,3,1,-58.648,8,0,12.95,12.95,LEGIT
NT.ARMY.MIL,SP,193,12,12,0,0,1,0,0,0,1,3,0,-0.08,28,0,49.95,49.95,LEGIT
CUKZE.COM,TO,625,16,16,0,0,0,0,0,0,1,0,0,-79.424,17,0,25.9,25.9,LEGIT
AQ.NETCOM.COM,KR,102,11,11,1,0,1,1,1,0,1,3,1,-18.608,6,0,12.95,12.95,LEGIT
HYKAQNMOTRMZR.COM,KR,102,18,18,0,0,1,1,0,0,1,3,1,-22.584,26,0,38.85,38.85,LEGIT
TMA.COM,IO,664,0,0,1,0,1,0,1,0,1,3,1,33.632,9,9,12.95,12.95,LEGIT
VCPTSFI.COM,NAO,166,13,13,0,0,0,1,1,0,1,3,1,7.504,20,0,38.85,38.85,LEGIT
XOSOP.COM,TO,625,12,12,0,0,1,1,1,0,4,0,1,30.176,11,4,38.85,38.85,LEGIT
JBXW.NET,VO,601,8,8,0,0,1,0,0,0,1,0,1,33.28,16,6,12.95,12.95,LEGIT
HPQF.COM,LM,128,20,20,0,0,1,1,1,0,2,2,0,17.192,7,0,38.85,38.85,LEGIT
NHG.COM,CO,672,10,10,0,0,1,0,0,0,1,2,0,1.912,11,0,12.95,12.95,LEGIT
TMA.COM,KR,101,20,20,0,0,0,0,0,0,1,3,0,1.952,16,0,38.85,38.85,LEGIT
FJAB.COM,NAO,166,10,10,0,1,0,1,1,0,1,3,1,-17.296,7,0,38.85,38.85,LEGIT
URYZHBNNSRYM.COM,NNO,606,6,6,0,0,1,0,0,1,3,0,0,-29.984,6,0,38.85,38.85,LEGIT
VUHZRNB.COM,KR,125,15,15,0,0,0,1,1,0,2,3,0,10.776,22,0,38.85,38.85,LEGIT
EMOBS.ORG,KR,125,3,3,0,0,0,0,0,0,1,3,1,15.24,14,3,12.95,12.95,LEGIT
TMA.COM,KR,116,15,15,1,0,1,0,0,0,2,2,1,-32.176,9,9,38.85,38.85,LEGIT
VUHZRNB.COM,TO,625,10,10,0,0,1,1,1,0,2,3,0,41.48,13,0,59.4,59.4,LEGIT
XOSOP.COM,KR,109,10,10,0,0,1,1,1,0,1,2,0,-19.4,9,9,25.9,25.9,LEGIT
LLN.GOV,LO,398,11,11,1,0,1,0,0,0,1,3,0,39.08,12,1,38.85,38.85,LEGIT
XZXDQOGHY.NET,MO,685,16,16,0,0,1,0,0,0,1,4,0,-12.832,10,0,12.95,12.95,LEGIT
TMA.COM,BO,308,10,10,0,0,1,1,0,0,1,2,0,4.896,6,1,10.36,10.36,LEGIT
WAJCTHFVP.NET,MO,685,13,13,0,0,1,1,1,0,2,3,0,11.88,22,0,10.36,10.36,LEGIT
BRZWCURTY.NET,KR,120,13,13,0,0,1,0,0,0,1,3,1,39.848,8,0,36.26,36.26,FRAUD
EAYROLLTBU.COM,ROT,420,10,10,0,0,0,1,1,0,1,3,0,-27.392,28,0,38.85,38.85,LEGIT
RNUMAP.EDU,BO,308,8,7,0,0,0,1,1,0,1,3,1,-16.704,18,0,49.95,49.95,LEGIT
VIFZXSYATKHC.COM,ROA,385,1,1,0,0,0,1,0,0,1,2,1,32.072,24,0,38.85,38.85,LEGIT
VUHZRNB.COM,MO,685,21,21,0,0,1,1,0,0,1,1,1,-14.64,9,9,12.95,12.95,LEGIT
XOSOP.COM,AO,675,20,20,0,0,0,1,0,0,1,3,1,34.488,16,0,12.95,12.95,LEGIT
TMA.COM,SO,693,19,19,0,0,0,1,1,0,1,2,0,-49.904,18,0,38.85,38.85,LEGIT
TMA.COM,BR,670,21,21,0,0,0,1,1,0,1,0,0,-9.624,24,0,12.95,12.95,FRAUD
WAJCTHFVP.NET,PO,614,22,22,0,0,1,0,0,0,2,3,1,0.448,13,2,12.95,12.95,LEGIT
TMA.COM,PO,614,6,6,0,0,0,0,0,0,1,3,0,0.736,6,3,10.36,10.36,LEGIT
TMA.COM,PO,614,13,13,0,0,0,0,1,0,1,3,0,11.856,19,1,49.95,49.95,LEGIT
VUHZRNB.COM,VO,601,14,14,0,0,1,1,1,0,1,3,0,13.344,8,2,12.95,12.95,LEGIT
TCN.COM,ROM,430,8,8,0,0,0,0,1,0,1,4,1,20.888,7,2,12.95,12.95,LEGIT
TMA.COM,TO,625,14,14,0,0,0,1,1,0,1,3,0,15.608,18,0,38.85,38.85,LEGIT
TMA.COM,VO,601,7,7,0,0,0,0,0,0,1,3,1,37.64,17,1,38.85,38.85,LEGIT
TMA.COM,TAO,647,12,12,1,0,1,1,0,0,1,2,0,-12.704,9,9,38.85,38.85,LEGIT
VUHZRNB.COM,CR,428,14,14,0,0,0,0,0,0,1,2,0,15.64,22,3,38.85,38.85,LEGIT
NVESIIL.RR.COM,VO,601,15,14,0,0,0,1,1,0,1,2,1,-72.344,24,1,10.36,10.36,LEGIT
QYMGCUN.NET,MV,369,7,7,0,0,0,1,1,0,1,3,0,9.824,26,0,38.85,38.85,LEGIT
TCN.COM,ROT,420,12,12,0,0,0,0,1,0,1,3,0,-30.712,16,3,38.85,38.85,LEGIT
XOSOP.COM,VO,602,16,16,0,0,0,1,1,0,3,2,1,-0.28,10,2,38.85,38.85,LEGIT
TMA.COM,OO,644,13,13,0,0,0,1,1,0,1,0,1,-2.16,10,0,38.85,38.85,LEGIT
NEKSXUK.NET,VO,601,8,8,0,0,1,1,1,0,2,3,1,-3.784,9,0,10.36,10.36,LEGIT
TLNPGSKRD.COM,BO,308,19,19,0,0,0,1,0,0,1,0,1,-21.392,16,0,20.72,20.72,LEGIT
OPSGWM.COM,VO,601,14,14,0,0,0,0,1,0,1,2,0,-34.136,27,0,12.95,12.95,LEGIT
XZXDQOGHY.NET,KR,112,20,20,0,0,1,0,1,0,2,2,0,-28.952,9,0,12.95,12.95,FRAUD
FVVAKFUWDNIZTGLRZE.COM,CO,672,16,16,0,0,0,1,1,0,1,2,1,9.208,32,0,49.95,49.95,LEGIT
BMVNQROS.COM,KR,107,16,16,0,0,1,1,1,0,1,3,0,-15.496,10,0,38.85,38.85,LEGIT
BWTSAUED.COM,RONO,362,13,13,0,0,0,0,0,0,2,0,1,45.64,19,0,12.95,12.95,LEGIT
OV.RR.COM,NO,630,11,11,0,0,1,1,1,0,1,3,0,15.768,11,0,12.95,12.95,LEGIT
TMA.COM,VO,600,14,14,0,0,0,0,0,0,1,3,0,-108.448,7,2,12.95,12.95,LEGIT
KDWQSUIUX.COM,AO,675,20,20,1,0,0,0,1,0,1,2,1,21.232,20,0,38.85,38.85,LEGIT
XOSOP.COM,KR,123,0,0,0,0,0,0,0,0,1,3,1,13.224,18,3,38.85,38.85,LEGIT
TMA.COM,VO,601,22,22,0,0,0,1,0,0,1,3,1,59.032,17,0,38.85,38.85,LEGIT
MOK.RR.COM,KR,113,20,20,0,0,0,0,0,0,2,3,1,6.704,19,1,12.95,12.95,LEGIT
FGORSY.RR.COM,VO,602,21,21,0,0,0,0,0,0,1,2,0,39.016,22,0,12.95,12.95,LEGIT
XOSOP.COM,BO,308,11,11,0,0,1,1,1,0,1,3,1,-7.024,15,0,10.36,10.36,LEGIT
GNV.COM,KR,112,9,9,0,0,0,0,1,0,1,3,1,-14.912,18,2,10.36,10.36,LEGIT
XOSOP.COM,VO,600,7,7,0,0,1,1,1,0,1,2,0,-10.768,29,4,12.95,12.95,FRAUD
XOSOP.COM,ROK,655,18,18,0,0,1,0,0,0,1,2,0,42.072,8,0,12.95,12.95,LEGIT
TMA.COM,ROK,655,11,11,1,0,0,1,1,0,1,3,0,-107.328,7,0,38.85,38.85,LEGIT
NHG.COM,CO,672,23,23,0,0,0,0,1,0,1,2,0,14.472,9,0,31.08,31.08,LEGIT
AJSLURQ.COM,KR,120,16,16,0,0,1,0,0,1,1,0,0,-9.952,12,0,10.36,10.36,LEGIT
IDI.NU,KR,116,14,14,1,0,1,0,0,0,1,3,0,10.856,9,9,20.72,20.72,LEGIT
XOSOP.COM,NAO,166,18,18,1,0,0,1,1,0,1,3,1,21.368,22,0,12.95,12.95,LEGIT
UHKCLG.NET,BR,670,20,20,0,0,1,0,0,0,2,2,1,-12.744,11,4,31.08,31.08,LEGIT
VUHZRNB.COM,MO,685,11,11,0,0,0,1,1,0,1,3,1,45.352,21,2,12.95,12.95,LEGIT
BIHVIAGZ.TV,SK,355,23,23,0,0,1,1,1,0,1,3,0,-29.504,6,0,12.95,12.95,LEGIT
BWT.NET,NAO,166,11,11,0,0,1,1,0,0,1,0,1,-4.448,10,0,49.95,49.95,LEGIT
TIHRKPPW.NET,KK,680,20,20,0,0,0,0,0,0,1,2,0,-16.768,21,4,12.95,12.95,LEGIT
WKEWFUEENTWT.COM,VO,601,14,14,0,0,1,0,0,0,1,2,0,34.184,9,2,12.95,12.95,LEGIT
KZOGEIFBAVSI.NET,NAO,166,21,21,0,0,0,1,1,0,1,2,0,3.784,25,1,12.95,12.95,LEGIT
NEKSXUK.NET,KR,120,10,10,0,0,0,1,0,0,1,3,1,1.12,19,0,12.95,12.95,LEGIT
VUHZRNB.COM,KR,117,13,13,0,0,1,0,0,0,1,3,0,4.352,7,2,12.95,12.95,LEGIT
TMA.COM,LM,127,11,11,0,0,1,0,0,0,2,0,0,-69.376,10,0,12.95,12.95,LEGIT
JEELOQUAV.NET,BR,670,15,15,0,0,1,0,0,0,1,4,0,-43.824,19,0,0.0,0.0,LEGIT
YLFB.COM,BO,308,18,18,0,0,1,0,1,0,1,3,0,-23.856,8,2,25.9,25.9,LEGIT
HBVLEXKLR.COM,VO,600,0,0,0,0,1,1,0,0,1,3,0,4.024,9,9,10.36,10.36,LEGIT
LFBKGSOHK.COM,AO,675,0,0,0,0,1,0,0,0,1,3,0,49.976,8,0,38.85,38.85,LEGIT
VUHZRNB.COM,VO,601,14,14,0,0,1,1,1,0,1,1,0,17.608,11,0,59.4,59.4,LEGIT
TMA.COM,ROM,430,21,21,0,0,1,1,1,0,1,2,0,-28.216,21,1,49.95,49.95,LEGIT
QEEJLFC.NET,SR,677,15,15,0,0,0,1,1,0,1,1,1,-42.656,17,0,38.85,38.85,LEGIT
LMXKFJIIUNRM.COM,",O",634,12,12,0,0,0,1,1,0,1,0,0,-7.304,20,0,49.95,49.95,LEGIT
DQNMRFSJTB.COM,MO,685,19,19,0,0,0,1,1,0,1,2,0,18.456,27,0,49.95,49.95,LEGIT
PGSEQQPW.NET,PO,614,10,10,0,0,1,1,0,0,1,2,0,15.68,9,1,38.85,38.85,LEGIT
PEMPCU.COM,ROA,385,15,15,0,0,1,0,1,0,1,3,0,-11.968,13,2,12.95,12.95,LEGIT
OUPX.COM,KR,118,22,22,0,0,0,0,1,0,1,3,0,28.464,20,0,12.95,12.95,LEGIT
RE.RR.COM,SO,693,7,7,0,0,1,1,0,0,1,0,0,5.632,20,0,12.95,12.95,LEGIT
NT.ARMY.MIL,TAO,647,18,18,1,0,0,0,1,0,1,3,0,32.712,25,0,38.85,38.85,LEGIT
XOSOP.COM,LO,398,8,8,0,0,1,1,1,0,1,3,0,25.768,7,2,38.85,38.85,LEGIT
NEKSXUK.NET,TO,625,17,17,0,0,1,1,1,0,1,3,0,-6.616,9,9,12.95,12.95,LEGIT
VUHZRNB.COM,TR,667,17,17,0,0,1,0,0,0,1,3,1,28.504,10,0,38.85,38.85,LEGIT
XOSOP.COM,PO,614,11,11,0,0,0,1,1,0,2,3,0,-2.184,9,1,38.85,38.85,LEGIT
VUHZRNB.COM,MO,685,0,0,0,0,0,1,1,0,1,4,1,9.328,9,3,38.85,38.85,LEGIT
VUHZRNB.COM,NO,630,9,9,0,0,0,1,1,0,1,3,0,12.664,17,0,38.85,38.85,LEGIT
BB.COM,KR,110,12,12,0,0,0,0,0,0,1,3,0,32.888,15,0,38.85,38.85,LEGIT
TMA.COM,MV,369,23,23,1,0,0,0,0,0,1,3,1,36.08,19,0,12.95,12.95,LEGIT
DW.COM,VO,601,17,17,0,0,0,1,1,0,1,3,1,14.816,8,0,38.85,38.85,LEGIT
XOSOP.COM,KR,105,22,22,0,0,1,0,0,0,1,0,0,31.992,11,2,12.95,12.95,LEGIT
XOSOP.COM,MO,685,19,19,0,0,0,0,0,0,2,3,0,23.624,6,0,12.95,12.95,LEGIT
XOSOP.COM,CR,428,9,9,0,0,1,1,1,0,1,3,1,6.352,7,0,38.85,38.85,LEGIT
XOSOP.COM,KR,110,1,1,0,0,1,0,0,0,1,2,0,28.408,10,0,12.95,12.95,LEGIT
QJIWNZUH.COM,KR,109,18,18,0,0,0,1,0,0,1,2,1,-24.6,19,0,38.85,38.85,LEGIT
XOSOP.COM,BR,670,7,7,0,0,0,0,1,0,1,3,0,24.072,20,2,12.95,12.95,FRAUD
VUHZRNB.COM,MO,685,15,15,0,0,0,1,0,0,1,3,1,-9.944,22,2,38.85,38.85,LEGIT
TMA.COM,CO,672,13,13,0,0,0,1,1,0,1,3,1,8.072,15,3,10.36,10.36,LEGIT
XZXDQOGHY.NET,MV,369,16,16,1,0,1,0,0,0,2,3,1,18.856,10,3,11.01,11.01,LEGIT
TMA.COM,AO,675,7,7,0,0,1,0,0,0,1,0,0,-28.52,10,2,12.95,12.95,LEGIT
WWKF.COM,BO,308,13,13,0,0,1,0,0,0,1,3,1,38.32,8,2,12.95,12.95,LEGIT
WAJCTHFVP.NET,PO,614,3,3,0,0,0,1,1,0,1,2,0,15.64,22,0,49.95,49.95,LEGIT
TCN.COM,IO,664,12,12,0,0,0,1,1,0,1,3,1,-38.496,11,0,12.95,12.95,LEGIT
XOSOP.COM,KR,119,15,15,1,0,1,0,0,0,1,2,0,20.88,9,0,38.85,38.85,LEGIT
TMA.COM,KR,108,23,23,0,0,1,0,0,0,1,2,0,7.408,9,4,38.85,38.85,LEGIT
XOSOP.COM,NO,630,18,18,0,0,0,0,0,0,1,0,1,-0.696,21,2,12.95,12.95,LEGIT
FJBSKES.ORG,NAO,166,6,6,0,0,1,0,1,0,1,2,1,-18.64,8,2,38.85,38.85,LEGIT
XOSOP.COM,VO,600,13,13,0,0,1,0,0,0,1,2,1,1.992,22,0,25.9,25.9,LEGIT
OXFGQSBCDSRCYX.COM,KR,101,17,17,1,0,0,1,0,0,1,3,1,52.464,25,0,12.95,12.95,LEGIT
VUHZRNB.COM,KR,108,22,22,0,0,1,0,0,0,1,2,0,43.904,10,0,38.85,38.85,LEGIT
TMA.COM,MO,685,19,19,0,0,0,1,1,0,3,4,1,-47.32,8,0,38.85,38.85,LEGIT
TMA.COM,MO,685,19,19,0,0,0,1,0,0,1,0,1,10.472,16,0,38.85,38.85,LEGIT
OV.RR.COM,NO,630,9,9,0,0,0,0,0,0,2,0,0,-4.272,10,2,12.95,12.95,LEGIT
BRZWCURTY.NET,KR,105,12,12,0,0,0,0,1,0,1,2,0,-57.48,27,0,12.95,12.95,LEGIT
VUHZRNB.COM,KR,119,15,15,0,0,1,0,0,0,1,2,0,29.568,7,0,12.95,12.95,LEGIT
RCMQPXTYIEW.COM,CO,672,8,8,1,0,0,1,0,0,1,2,1,40.272,8,0,49.95,49.95,LEGIT
NEKSXUK.NET,LO,398,11,11,1,0,1,0,0,0,1,4,0,30.392,7,4,12.95,12.95,LEGIT
XOSOP.COM,KAO,688,18,18,0,0,1,1,1,0,2,3,0,59.208,9,0,12.95,12.95,LEGIT
BQQICXLRJAZLL.COM,CAO,689,9,9,0,0,1,0,0,0,1,3,0,-15.688,28,0,12.95,12.95,LEGIT
QJGRN.COM,MO,685,11,11,0,0,1,0,1,0,1,3,0,28.264,16,0,11.01,11.01,LEGIT
VBZ.EDU,NAO,166,17,17,0,0,0,1,0,0,1,0,0,43.856,14,0,12.95,12.95,LEGIT
VUHZRNB.COM,AR,649,15,15,0,0,1,0,0,0,3,2,0,-0.008,10,0,11.01,11.01,LEGIT
VUHZRNB.COM,BO,308,2,2,0,0,0,1,0,0,1,2,0,16.944,11,0,38.85,38.85,LEGIT
XOSOP.COM,LM,128,11,11,0,0,0,0,0,0,1,3,0,44.616,23,0,38.85,38.85,LEGIT
TMA.COM,SO,693,1,1,0,0,1,0,0,0,2,2,0,11.536,7,2,11.01,11.01,LEGIT
IPLKSJKDJTZ.COM,ROI,386,8,8,0,0,1,0,0,0,1,3,0,37.312,9,8,38.85,38.85,LEGIT
XOSOP.COM,KR,122,15,15,0,0,1,0,1,0,1,3,1,-16.64,8,0,10.36,10.36,LEGIT
WAJCTHFVP.NET,MO,685,20,20,0,0,0,0,0,0,2,3,0,-15.656,22,0,12.95,12.95,LEGIT
BB.COM,CR,428,15,15,0,0,1,1,1,0,1,0,0,22.456,8,1,11.01,11.01,LEGIT
XOSOP.COM,KR,110,12,12,0,0,1,0,0,0,1,3,0,44.568,26,0,38.85,38.85,LEGIT
CNLCVBEJNNI.COM,OO,644,9,9,0,0,0,1,0,0,2,3,1,-17.536,23,0,10.36,10.36,LEGIT
UBKQSEIRPHHP.COM,KR,104,11,11,0,0,1,1,0,0,1,2,0,23.64,11,0,20.72,20.72,LEGIT
NEKSXUK.NET,MO,685,20,20,0,0,0,0,0,0,1,0,1,25.056,25,0,25.9,25.9,LEGIT
VUHZRNB.COM,PO,614,8,8,0,0,1,0,0,0,1,3,1,-10.648,7,2,12.95,12.95,LEGIT
EAYROLLTBU.COM,MO,685,16,16,0,0,1,0,0,1,2,3,1,9.968,9,9,12.95,12.95,LEGIT
XOSOP.COM,LO,398,17,17,0,0,0,1,1,0,1,3,0,22.616,20,1,38.85,38.85,LEGIT
VUHZRNB.COM,VO,601,9,9,0,0,1,1,0,0,2,3,0,-23.848,8,2,38.85,38.85,LEGIT
AJKKPTTCCVXL.ORG,RONO,362,11,11,0,0,1,1,1,0,2,3,1,12.944,9,0,12.95,12.95,LEGIT
OYRKAQC.ORG,NAO,166,13,13,0,0,1,0,1,0,1,2,0,2.44,9,9,12.95,12.95,LEGIT
SWAJOGJPR.NET,NO,630,18,18,0,0,0,0,0,0,1,2,1,36.992,25,0,12.95,12.95,LEGIT
PRHQHOYS.RR.COM,ROB,450,21,21,0,0,1,0,1,0,2,3,0,11.096,11,2,12.95,12.95,LEGIT
TMA.COM,LM,128,20,20,0,0,1,0,0,0,1,2,0,25.408,12,3,12.95,12.95,LEGIT
XOSOP.COM,VO,602,8,8,0,0,1,0,0,0,1,0,1,-4.544,9,9,25.9,25.9,LEGIT
NVESIIL.RR.COM,VO,600,17,17,0,0,0,1,1,0,2,3,0,42.672,21,5,12.95,12.95,LEGIT
TCN.COM,LO,398,20,20,0,0,1,1,1,0,1,3,0,-17.912,9,4,38.85,38.85,LEGIT
PRHQHOYS.RR.COM,ROB,450,22,22,0,0,0,1,1,0,1,3,1,25.328,21,0,38.85,38.85,FRAUD
VUHZRNB.COM,OO,644,10,10,0,0,1,0,0,0,1,3,0,44.568,11,0,38.85,38.85,LEGIT
NEKSXUK.NET,KR,116,17,17,0,0,1,1,1,0,1,3,1,-17.464,8,0,38.85,38.85,LEGIT
TMA.COM,PO,614,9,9,0,0,1,1,1,0,2,0,1,2.792,19,0,25.9,25.9,LEGIT
TMA.COM,RONO,362,12,12,0,0,0,0,0,0,1,3,1,-56.568,19,2,12.95,12.95,LEGIT
NEKSXUK.NET,LO,398,10,10,0,0,0,1,0,0,1,3,0,-0.744,17,2,12.95,12.95,LEGIT
AWNRG.NET,LO,398,18,18,0,0,0,1,0,0,2,2,1,37.576,10,0,25.9,25.9,LEGIT
GVNVJUQJWQWYTIMKFQT.US,RONO,362,16,16,0,0,0,1,1,0,1,2,0,20.2,30,0,38.85,38.85,LEGIT
KRJM.ORG,AO,675,11,11,1,0,1,1,1,0,1,3,0,43.232,8,0,38.85,38.85,LEGIT
VUHZRNB.COM,KR,106,15,15,0,0,0,0,0,0,1,2,0,-26.648,20,0,38.85,38.85,LEGIT
EECBTTYNTANP.COM,SK,355,14,14,0,0,0,1,0,0,1,3,1,-8.896,21,0,12.95,12.95,LEGIT
TCN.COM,VO,601,20,20,1,0,1,1,1,0,1,2,1,32.312,8,6,11.01,11.01,LEGIT
TMA.COM,AO,675,23,23,0,0,0,1,0,0,1,2,0,-15.336,15,0,12.95,12.95,LEGIT
MRDEUZ.COM,PO,614,12,12,0,0,1,1,1,0,1,3,1,43.608,8,0,12.95,12.95,LEGIT
XOSOP.COM,KR,124,11,11,1,0,1,1,1,0,1,2,1,26.096,8,4,38.85,38.85,LEGIT
TKZOMMZCFHRNA.COM,ROK,655,12,12,1,0,0,0,0,0,1,3,1,36.112,31,0,38.85,38.85,LEGIT
GKUXXZYXNX.NET,KR,112,14,14,0,0,0,0,0,0,1,3,0,-11.504,24,0,49.95,49.95,LEGIT
HPQF.COM,NAO,166,17,17,0,0,1,1,1,0,1,3,0,-20.768,7,0,38.85,38.85,LEGIT
TMA.COM,MO,685,13,13,0,0,0,0,0,0,3,3,1,-12.408,10,0,11.01,11.01,LEGIT
VUHZRNB.COM,NAO,166,12,12,0,0,1,0,0,0,1,3,1,40.2,12,0,49.95,49.95,LEGIT
TMA.COM,",O",634,15,15,0,0,0,0,0,0,1,3,1,29.616,19,0,12.95,12.95,LEGIT
TCN.COM,PO,614,9,9,0,0,1,1,1,0,3,3,0,-36.048,9,3,10.36,10.36,LEGIT
XOSOP.COM,NAO,166,21,21,0,0,1,1,1,0,1,0,0,24.12,8,0,38.85,38.85,LEGIT
XOSOP.COM,NAO,166,14,14,0,0,1,0,0,0,1,3,0,26.8,11,4,12.95,12.95,LEGIT
XOSOP.COM,UO,432,16,16,0,0,1,1,1,0,2,2,0,32.136,9,0,25.9,25.9,LEGIT
TMA.COM,VO,600,10,10,0,0,0,0,0,0,1,3,1,-10.944,20,0,11.01,11.01,LEGIT
WAJCTHFVP.NET,MO,685,18,18,0,1,1,0,1,0,3,3,0,10.608,27,0,10.36,10.36,LEGIT
AWRCWB.NET,PO,614,18,18,0,0,1,0,0,0,2,3,0,-15.816,7,4,12.95,12.95,LEGIT
ZLKFMQBCZ.COM,MO,685,0,0,0,0,1,1,0,0,1,3,0,-76.096,14,4,38.85,38.85,LEGIT
DPTDQVHCCCCW.COM,ROB,453,13,13,0,0,1,1,1,0,1,3,0,-40.72,7,0,10.36,10.36,LEGIT
NEKSXUK.NET,AR,649,16,16,0,0,0,0,0,0,1,3,0,-20.84,18,0,38.85,38.85,LEGIT
VUHZRNB.COM,CR,428,11,11,0,0,0,1,1,0,1,2,0,28.192,22,0,25.9,25.9,LEGIT
ZOCJO.COM,KR,124,19,19,0,0,1,0,0,0,1,3,0,36.824,19,0,10.36,10.36,LEGIT
KVFZJ.NET,MV,369,23,23,0,0,1,1,1,0,1,2,1,39.952,15,0,12.95,12.95,LEGIT
NEKSXUK.NET,PO,614,19,19,0,0,1,0,0,0,2,2,0,21.136,10,2,10.36,10.36,LEGIT
TXHMXWMCQ.NET,LM,127,17,17,0,0,0,0,0,0,3,3,1,-14.96,8,0,38.85,38.85,LEGIT
XOSOP.COM,CO,672,10,10,0,0,0,1,1,0,1,3,1,18.704,24,0,49.95,49.95,LEGIT
TCN.COM,MV,369,18,18,0,0,1,1,0,0,2,0,0,-35.048,9,0,12.95,12.95,LEGIT
NEKSXUK.NET,MO,685,0,0,0,0,0,0,0,0,2,3,1,40.576,18,0,38.85,38.85,LEGIT
WQQEU.PPDI,MV,369,11,11,0,0,0,0,0,0,1,4,1,-17.904,7,0,38.85,38.85,LEGIT
VF.COM,ROB,450,2,2,0,0,0,1,0,0,1,2,0,20.104,25,0,38.85,38.85,LEGIT
BRZWCURTY.NET,VO,601,14,14,0,0,1,0,1,0,2,2,0,-50.648,25,0,38.85,38.85,LEGIT
OBDGIMALYNHHFIOERSSL.COM,PO,614,16,16,0,0,1,0,0,0,1,0,0,4.84,7,4,12.95,12.95,LEGIT
TMA.COM,MO,685,10,10,0,0,1,1,1,0,3,0,0,-39.792,9,9,12.95,12.95,LEGIT
BWT.NET,RONO,362,21,21,0,0,0,0,0,0,1,2,0,-38.072,21,0,38.85,38.85,LEGIT
